id_don_vi;ten_don_vi;dia_chi;nguoi_dai_dien;so_dien_thoai;id_don_vi_ql;ngay_khai_bao;trang_thai;so_nha;ma_so_thue;hoa_don_dt;ma_don_vi_igate;ma_co_quan_igate;ky_so;qr_scan;verify_id_card;is_verify_face;is_elastic;apikey_cccd;apikey_face;verify_code_cccd;username_elastic;password_elastic;id_nhiem_vu;id_loai_dv;id_cap_ql
1;zowie state vault;nimble insidious pioneer;modulo duh ceiling;waterlogged when;1525;2024-10-07;31170;waffle join;given fortune yippee;31244;weepy;however;29882;14162;9806;21339;19637;scrap aware;around;flinch versus;excepting reorganize fooey;aha since hm;big-hearted jealously;in following tee;lower whether mostly
2;compress;tame lobotomize coach;banking tragic;empire frog overconfidently;28959;2024-10-07;7253;atop gah congratulate;justly;121;except whoever wherever;bite monstrous;15145;22391;25790;10307;29451;gee;group;amidst queasily;unlucky as instead;bankbook zowie;cabinet quarterly sunshine;aw speedily;wordy daylight until
3;misrepresentation towards;as;ah;whoa;29760;2024-10-07;24144;plumb;hopelessly;26041;notwithstanding;awkwardly aha um;15645;14870;29693;10893;7099;needy amid chasm;ritualise if;geez;bah eek;defuse;ha;phew monger;mild below gnat
4;how weakly besides;opposite if gee;phooey boo;gah upon consign;11554;2024-10-08;2980;even;nearly glorious although;31711;ouch;usually sniveling;11969;4567;19092;5364;28227;bossy babyish;nor selfishly;indeed entire;usefully;pathology briefly mysteriously;excepting ha;ew;yuck up nearly
5;hence loyally;now;economics;yum;2655;2024-10-08;27019;yippee unless muscatel;hm;28656;because;reprimand;11730;17698;520;26054;24678;youthfully adept;inscription finally though;afore joyfully actual;considering of questioningly;wary unto;among intensely;closely gah or;empty
6;repentant wampum;joyfully;salty off step-father;excepting;14774;2024-10-07;3993;easily ready;wealthy trouble;3219;waterlogged suburban given;eke;13297;22785;28406;373;8037;fizz gah flinch;and rude;fine minor;destiny zowie;disincentivize gorgeous;past deeply;attain;before nor
7;itchy detonate because;roughly huzzah;including dwell downgrade;loftily roust lest;24422;2024-10-08;32173;era overhang;professionalize ugh gracious;18970;excepting wear roughly;euphoric outline superficial;2266;723;21823;20204;28328;as whether meanwhile;whereas;sticker woot frilly;consume opt;pentagon unfortunately barring;cygnet yahoo;furthermore a tape;yahoo aw
8;principle frankly demoralise;ew hence;stem brr er;outstrip geez;26003;2024-10-07;25672;evacuate unwieldy redecorate;on;11163;er diadem raw;equipment;30024;2558;31692;23138;13779;so;mysteriously hmph fairly;creditor inasmuch;best gee boo;yahoo mid lest;worship;meanwhile plus plus;jaded sadly
9;yieldingly;volcano mortally;though;whoa trustworthy;29707;2024-10-08;15174;uh-huh midst cultivar;swordfish;32480;toward imprint;hurricane;545;20310;75;6901;1584;blah;catastrophe godparent safari;revolutionise since contemplate;woodland recreate pace;the;till modulo;link excluding even;harass
10;ha lover huzzah;finally;squeak except off;doubtfully;23982;2024-10-07;30918;woot supposing;following strife;926;simulate freshen unnecessarily;versus;16513;11185;8684;11829;31066;interchange;in click supposing;ick into dresser;gosh;contractor duh offbeat;discrimination get;commonly;which rudely
