id;ten_duong_su;dia_chi;trang_thai;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_master;id_don_vi;str_search;so_giay_to;id_loai_ngan_chan
1;whose;an;0;2024-09-21;5228;10312;fatally;27212;about tabletop;real;22131
2;pfft;yourself muss lest;1;2024-09-21;21161;25341;very upwardly gosh;26489;tan septicaemia quietly;sedately leading;31287
3;angelic muffled;observation;0;2024-09-21;6846;19809;fuse um;21502;queasily married;nautical delicious outstrip;12512
4;oof than;giant;0;2024-09-22;7504;10981;supposing worth;3052;impanel abaft;bulky utterly;9821
5;unnaturally watery;shackle;0;2024-09-21;28212;24093;rudely;21198;hourly;parse considerate unknown;26472
6;stucco;air;1;2024-09-22;19910;8906;hence;10304;trek mockingly whoa;scented unfortunately;13614
7;amid;at recklessly while;0;2024-09-22;30339;23172;lightly behind;16073;what;current;27698
8;how the with;manicure;0;2024-09-22;14329;5898;abnormally;17351;after huzzah portend;excluding;8921
9;though lest;oncology pfft;1;2024-09-21;25347;32731;ack with when;25952;onto um stiff;clash;32063
10;gah revert to;timbale brunch generously;1;2024-09-21;1039;19674;meanwhile impanel;5321;black-and-white;phew;14347
