id_duong_su;ten_duong_su;dia_chi;trang_thai;thong_tin_ds;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_master;id_don_vi;str_search;so_giay_to;id_loai_ngan_chan
1;hmph;certainly minus excluding;1;whitewash carefully;2024-09-21;31093;5048;knitting than;4645;the grease;incidentally pard aha;12659
2;over anenst out;quaintly politely loftily;1;masculine;2024-09-22;28865;12624;well;27557;plunder;excluding prate philosophise;22947
3;ouch sans;comply;1;grunt crane mentor;2024-09-21;22782;9742;rudely;23954;razor overlook;at;19482
4;cube;likewise furthermore hem;0;eek quizzically;2024-09-21;21241;2588;porpoise dally;181;bleakly once;meh;22165
5;besides;notice separately;0;that;2024-09-21;11202;14002;woot lively even;4806;bah;however count;11512
6;and;till transpose;1;provided plastic toddle;2024-09-22;15191;14065;meh near;10079;modeling where attachment;ick;2354
7;powerless;cherry;1;smelt traumatic given;2024-09-22;14512;28817;daintily;7673;infatuated yum;pusher greedy duplexer;25183
8;through;but yet;0;quarrelsomely;2024-09-21;1018;25091;truly after;8684;piglet readily;ugh;32232
9;miserable;gadzooks house than;0;villainous drat;2024-09-21;22312;16343;carelessly than;31736;rappel;serialize scornful;15422
10;trim mysterious foot;overwinter uh-huh gadzooks;0;purse;2024-09-21;22037;6358;sympathetically;2377;beyond;rudely mechanically banjo;12953
