id_duong_su;ten_duong_su;dia_chi;so_dien_thoai;email;fax;website;trang_thai;thong_tin_ds;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_master;id_don_vi;str_search;so_giay_to;ghi_chu;id_loai_ngan_chan;sync_status
1;control next;around whorl;ack;Myriam.OKon88@gmail.com;lest;ha attend multiply;0;../fake-data/blob/hipster.txt;2024-09-22;19466;2563;main if;26592;meh accent;beyond;yahoo;20997;1
2;what;how prickly;electric;Derek_Larson@hotmail.com;neatly near;huzzah;0;../fake-data/blob/hipster.txt;2024-09-22;14274;4723;hmph;2446;promote bear remarkable;up hippopotamus;impact atop;18597;1
3;roam next;toward debar;soulful likewise;Akeem.Mueller-Goyette@hotmail.com;ouch zowie tame;rigidly whether ick;1;../fake-data/blob/hipster.txt;2024-09-21;7876;31999;across overjoyed;11074;jail sheepishly zowie;freely curriculum;although than;11758;0
4;briskly though gratefully;oof;round;Edison24@yahoo.com;where;inside;0;../fake-data/blob/hipster.txt;2024-09-21;13924;29236;however station;5861;an modulo;material jaggedly;joshingly fooey reintroduce;21835;0
5;where whereas medical;essential rent;ouch jot;Victoria_Waelchi45@gmail.com;unknown brutalize culture;yowza yahoo eager;0;../fake-data/blob/hipster.txt;2024-09-21;29322;4331;feature nanoparticle;17798;football gazebo;gah;enervate crowd;3033;0
6;by circa without;sadly calculating;meh and;Carmine_Bogan15@yahoo.com;minimize criterion a;soothe than gosh;1;../fake-data/blob/hipster.txt;2024-09-21;4000;29827;foolishly;28832;after;stonewall knavishly;failing;19711;1
7;presuppose wick;cheery about;blinker ornery illustrious;Frances.Donnelly@hotmail.com;scald;apud;0;../fake-data/blob/hipster.txt;2024-09-21;20254;8437;pulse because;22017;fatally bah yahoo;land;phooey;29897;1
8;anti;given;whoa zowie trifling;Willis_Medhurst@hotmail.com;yahoo;lest anxiously vein;0;../fake-data/blob/hipster.txt;2024-09-21;13412;31701;superb;15327;cheerfully;chance afore aw;ceramic boastfully;15492;1
9;beyond yet quick-witted;dearly;from since;Jasmin18@yahoo.com;masculine;clueless married fast;1;../fake-data/blob/hipster.txt;2024-09-22;9224;28679;ick;891;machine exciting before;meh medium closely;highly sap;14883;1
10;ligate utter ascribe;ouch beautifully concur;gently;Keeley.Gleason@yahoo.com;deeply gee knowingly;geez;0;../fake-data/blob/hipster.txt;2024-09-21;24241;13195;brightly whether;10857;anchored;heel oh lest;yawningly habit best;8810;0
