id;ten_duong_su;dia_chi;trang_thai;thong_tin_ds;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_master;id_don_vi;str_search;so_giay_to;id_duong_su_min;id_master_min;id_duong_su_max;id_master_max
1;mmm;tackle finally pace;0;ew ew upset;2024-09-02;20587;27557;round annual;26566;commercialise dreamily;oof aw if;24359;23236;25471;21640
2;chef partner immense;inasmuch lest;0;cooperative cleaner goof;2024-09-02;30276;214;correctly bravely;21538;through who;given;23018;7812;24988;24936
3;refuse;quart;0;raffle;2024-09-01;11151;20936;provided gratefully;5043;finally midst indeed;cauterise at socialist;6330;12029;24137;28751
4;uncommon blindside;tart via complication;0;since freighter;2024-09-02;12985;16452;lipid;18587;euphoric hm surprisingly;fool unravel;18562;30801;9065;16016
5;into id narrow;yippee;0;oof gosh;2024-09-01;26018;18883;um greatly;15027;underneath which;so;11160;9909;25967;24106
6;winding hyperventilate;in;1;till whether;2024-09-01;16909;25130;hence crisp;4955;quadrant;yourself pricey swiftly;6442;5205;10321;22106
7;pish;family darn;0;hippopotamus outstanding;2024-09-01;2532;1241;rejoin aw nifty;23250;considering;cheerfully pungent;6850;30913;8679;16290
8;practical oof;obviate aha;1;next;2024-09-02;20701;1467;implement;30968;leafy;during easily vacant;9363;4381;24494;9373
9;knowledgeably;glug near than;0;negligible anenst;2024-09-01;26031;15911;meh yahoo;6495;obtain boo;heavily frantically;21675;4153;20192;27828
10;mesmerise searchingly;narrate yuck or;0;enthusiastically excoriate;2024-09-01;20487;19238;goal artist lest;18480;and cruelly anterior;beside leading pfft;15657;16108;30150;22140
