id;ten_duong_su;dia_chi;trang_thai;thong_tin_ds;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_master;id_don_vi;str_search;so_giay_to
1;alive southeast blunt;geez;0;impure once;2024-09-02;16049;13658;outstay seemingly beseech;31162;though near;than while faithfully
2;when;why;0;but yearningly troubleshoot;2024-09-02;14801;501;frantically;961;safely;ecology
3;who what;durian unaccountably;1;aw round;2024-09-02;18455;14768;who mysterious;8537;aw provided enormously;moccasins
4;offbeat;inborn phooey romance;1;ick afterwards;2024-09-02;25730;14183;since;9088;masculine frugal;to trigger
5;frenetically veil hmph;scarcely;1;instead incidentally bow;2024-09-02;527;12255;doe;7503;duh because aha;muddle urban
6;mid via;likewise loads;1;expert pour;2024-09-02;11911;12815;board eek self-assured;23200;separately yippee;glow except
7;swiftly lest meh;well beside if;1;hence;2024-09-01;32587;21269;minus apud feud;12265;worriedly reassuringly;loftily
8;finally whether fan;but;1;because;2024-09-02;10756;27052;bracket;18612;courageously;lest
9;salt uh-huh noisily;dizzy cornmeal;1;er;2024-09-01;310;21785;stink;26894;deliberately knavishly;yearningly
10;promptly boo occasion;regard in swiftly;1;in airmail blindly;2024-09-02;8714;7323;blah hop knobby;18009;trivialise departure;for
