id_cap_nhat;ten_duong_su;so_giay_to;thong_tin_duong_su;ngay_cap_nhat
1;kilometer oak modulo;apropos aha septicaemia;../fake-data/blob/hipster.txt;2024-09-21
2;international zowie upbraid;crook eek stupefy;../fake-data/blob/hipster.txt;2024-09-21
3;hoick rite;undershoot;../fake-data/blob/hipster.txt;2024-09-21
4;eek;yahoo why fairly;../fake-data/blob/hipster.txt;2024-09-21
5;neat;an feeding awkwardly;../fake-data/blob/hipster.txt;2024-09-22
6;nervously where bright;amongst squall;../fake-data/blob/hipster.txt;2024-09-21
7;lonely healthily abjure;healthily;../fake-data/blob/hipster.txt;2024-09-22
8;beyond yippee;boohoo unexpectedly;../fake-data/blob/hipster.txt;2024-09-21
9;unrealistic absentmindedly finisher;indeed about;../fake-data/blob/hipster.txt;2024-09-21
10;psst;genuine tick squint;../fake-data/blob/hipster.txt;2024-09-22
